Label,Description,License,Attribution,Sequence_filename,Sequence_label,Sequence_viewing_experience,unique_identifier,Metadata_label,Metadata_value
TOAD EFFIGY BALLGAME YOKE,TOAD EFFIGY BALLGAME YOKE,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",University of Notre Dame::Hesburgh Libraries::General,,Sequence1,individuals,1983.053.002,,
,,,,,,,,Accession Number,1983.053.002
,,,,,,,,Repository,Snite
,,,,,,,,Creator,"Early Classic Veracruz culture Veracruz, Mexico"
,,,,,,,,Creation Date,
,,,,,,,,,
,,,,,,,,Title,TOAD EFFIGY BALLGAME YOKE
,,,,,,,,Classification,painting
,,,,,,,,Media,greenstone with black intrusions
,,,,,,,,Dimensions,17 x 14 1/2 in. (43.18 x 36.83 cm)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Bibliography,"Bradley, Doug, Life, Death & Duality, University of Notre Dame, Notre Dame, IN, 1997, 64
Porter, Dean A., Selected Works from The Snite Museum of Art University of Notre Dame, Notre Dame University, Snite Museum of Art, the University of Notre Dame, Notre Dame, Ind., 1987, 024
"
,,,,,,,,,
